log10C,log10gamma,t,C,gamma,bal_acc_mean,bal_acc_std,crowding
-0.3385828379327914,-2.6921988736857982,0.2616186911482562,0.45858216685597986,0.0020314265597832035,0.82,0.042265587992070024,0.0
-0.3653813914095172,-2.647267647181394,0.26256472300709605,0.43114028908803476,0.0022528503966802314,0.82,0.042265587992070024,0.0
-0.37457587027502837,-2.657929004357574,0.26275167905710306,0.42210853119284425,0.002198219194017091,0.82,0.042265587992070024,0.0
-0.37929467743629697,-2.636501409351478,0.26417039488102073,0.41754695660024976,0.0023093969645636156,0.82,0.042265587992070024,0.0
-0.39265971089858964,-2.3701240055446764,0.29260924162373586,0.4048930191831562,0.004264577335236384,0.8102150537634408,0.040647436927818914,0.08885428103449805
-0.46401868073483565,-2.4459169379016923,0.2867242685770941,0.34354317042246063,0.0035816493229953237,0.8102150537634408,0.040647436927818914,0.07140818612472921
-0.529635992162431,-2.409826020613686,0.2855169874998397,0.2953683846218636,0.003892010286118677,0.8102150537634408,0.040647436927818914,0.0
-0.4025264896808969,-2.5174257931104114,0.2822471877311448,0.3957979225063543,0.0030379051273960373,0.8102150537634408,0.040647436927818914,0.0
-0.48155866755551896,-2.4481946785537447,0.2843136374143851,0.32994483362966287,0.0035629138504565585,0.8102150537634408,0.040647436927818914,0.0
-0.2847583945878165,-2.563236868647347,0.2822263343572683,0.5190887365170885,0.0027337772895582356,0.8102150537634408,0.040647436927818914,0.0
-0.3496402122559753,-2.5864104174273956,0.2819687271031418,0.4470537968783516,0.0025917289660338538,0.8102150537634408,0.040647436927818914,0.0
-0.23807434174427405,-2.798430063052976,0.250096269290065,0.5779970984386269,0.0015906328119813314,0.8098924731182795,0.03675563890833239,0.08885428103449805
-0.22536665531494848,-2.832053902854586,0.24977047819975434,0.5951594649731314,0.001472129776367341,0.8098924731182795,0.03675563890833239,0.05570341508009455
-0.5245716174401645,-2.3888396445667848,0.2957860569564609,0.29883288152145043,0.004084701787656226,0.803763440860215,0.03525504582958062,0.05570341508009455
-0.6385111455563965,-2.43196964519692,0.28890965474170194,0.22987347147171494,0.0036985402964566333,0.803763440860215,0.03525504582958062,0.037439666774542045
-0.48434224106477847,-2.5319788653652058,0.2876443215922881,0.32783684301712596,0.0029377926140894154,0.803763440860215,0.03525504582958062,0.0
-0.592004328284502,-2.535258886343813,0.28679347762529117,0.2558560387543074,0.0029156884311399536,0.803763440860215,0.03525504582958062,0.0
-0.5505379872445153,-2.4822871713706003,0.29158193452884434,0.2814893788805871,0.003293918342417445,0.803763440860215,0.03525504582958062,0.0
-0.5620706396260087,-2.500178924378382,0.2863205068093105,0.2741128280872312,0.003160975106139139,0.803763440860215,0.03525504582958062,0.0
-0.549641633404673,-2.329164520506753,0.2934238119874012,0.28207095349140265,0.004686358187382147,0.803763440860215,0.03525504582958062,0.0
-0.530802489260656,-2.5186732398120384,0.29268925070749946,0.2945761017971077,0.0030291917139691252,0.800537634408602,0.03410484199387891,0.2750373899069701
-0.5519121640769181,-2.4881627035000036,0.293503183480859,0.2806001093409129,0.0032496552992883365,0.800537634408602,0.03410484199387891,0.037439666774542045
-0.5408763960879024,-2.478712408665732,0.2948978753121579,0.28782174634041546,0.0033211431201655697,0.800537634408602,0.03410484199387891,0.0
-0.5622196272538004,-2.4726407893164004,0.29486174483678884,0.2740188079755597,0.0033679001766304516,0.800537634408602,0.03410484199387891,0.0
-0.4513209547780416,-2.4401353471130847,0.2995800272747308,0.35373582460068886,0.0036296491976162476,0.800537634408602,0.03410484199387891,0.0
